ticker,buy_price,sell_price,qty,buy_date,sell_date,pnl_dollars,pnl_pct,source
CTRA,35.75,34.48,1.0,2026-03-26,2026-03-20,-1.2700000000000031,-3.552447552447561,alpaca
CIEN,446.0,403.31,1.0,2026-04-02,2026-03-19,-42.69,-9.571748878923767,alpaca
